network_address,name
2.182.0.0/18,Iran Telecommunication Company PJS
2.182.64.0/19,Iran Telecommunication Company PJS
2.182.96.0/20,Iran Telecommunication Company PJS
2.182.112.0/21,Iran Telecommunication Company PJS
2.182.120.0/22,Information Technology Company (ITC)
2.182.124.0/22,Iran Telecommunication Company PJS
2.182.128.0/19,Iran Telecommunication Company PJS
2.182.160.0/21,Iran Telecommunication Company PJS
2.182.168.0/22,Iran Telecommunication Company PJS
2.182.172.0/24,Information Technology Company (ITC)
2.182.173.0/24,Iran Telecommunication Company PJS
2.182.174.0/23,Iran Telecommunication Company PJS
2.182.176.0/20,Iran Telecommunication Company PJS
2.182.192.0/19,Iran Telecommunication Company PJS
2.182.224.0/20,Iran Telecommunication Company PJS
2.182.240.0/21,Iran Telecommunication Company PJS
2.182.248.0/22,Iran Telecommunication Company PJS
2.182.252.0/23,Iran Telecommunication Company PJS
2.182.254.0/24,Iran Telecommunication Company PJS
2.182.255.0/24,Information Technology Company (ITC)
2.183.0.0/16,Iran Telecommunication Company PJS
2.184.0.0/16,Iran Telecommunication Company PJS
2.185.0.0/17,Iran Telecommunication Company PJS
2.185.128.0/18,Iran Telecommunication Company PJS
2.185.192.0/19,Iran Telecommunication Company PJS
2.185.224.0/20,Iran Telecommunication Company PJS
2.185.240.0/21,Iran Telecommunication Company PJS
2.185.248.0/22,Iran Telecommunication Company PJS
2.185.252.0/23,Iran Telecommunication Company PJS
2.185.254.0/23,Information Technology Company (ITC)
2.186.0.0/16,Iran Telecommunication Company PJS
2.187.0.0/17,Iran Telecommunication Company PJS
2.187.128.0/24,Iran Telecommunication Company PJS
2.187.130.0/23,Iran Telecommunication Company PJS
2.187.132.0/22,Iran Telecommunication Company PJS
2.187.136.0/21,Iran Telecommunication Company PJS
2.187.144.0/20,Iran Telecommunication Company PJS
2.187.160.0/19,Iran Telecommunication Company PJS
2.187.192.0/19,Iran Telecommunication Company PJS
2.187.224.0/20,Iran Telecommunication Company PJS
2.187.240.0/21,Iran Telecommunication Company PJS
2.187.248.0/22,Iran Telecommunication Company PJS
2.187.252.0/24,Information Technology Company (ITC)
2.187.253.0/24,Information Technology Company (ITC)
2.187.254.0/24,Information Technology Company (ITC)
2.187.255.0/24,Information Technology Company (ITC)
2.188.0.0/23,Telecommunication Infrastructure Company
2.188.2.0/23,Information Technology Company (ITC)
